word,language,
என,1,
நான்,1,
அவரது,1,
என்று,1,
அவர்,1,
இருந்தது,1,
ஐந்து,1,
ம்,1,
உள்ளன,1,
உடன்,1,
அவை,1,
இருக்கும்,1,
மணிக்கு,1,
ஒரு,1,
வேண்டும்,1,
இந்த,1,
இருந்து,1,
மூலம்,1,
சூடான,1,
விக்சனரி,1,
ஆனால்,1,
என்ன,1,
சில,1,
ஆகிறது,1,
அது,1,
நீங்கள்,1,
அல்லது,1,
இருந்தது,1,
தி,1,
உள்ள,1,
செய்ய,1,
மற்றும்,1,
ஒரு,1,
உள்ள,1,
நாம்,1,
முடியாது,1,
வெளியே,1,
மற்ற,1,
இருந்தன,1,
இது,1,
செய்,1,
தங்கள்,1,
நேரம்,1,
என்றால்,1,
சாப்பிடுவேன்,1,
எப்படி,1,
என்றார்,1,
ஒரு,1,
ஒவ்வொரு,1,
சொல்ல,1,
இல்லை,1,
தொகுப்பு,1,
மூன்று,1,
வேண்டும்,1,
காற்று,1,
அதே,1,
"மேலும்,",1,
விளையாட,1,
சிறு,1,
இறுதியில்,1,
வைத்து,1,
வீட்டில்,1,
படிக்க,1,
கையில்,1,
துறைமுக,1,
பெரிய,1,
எழுத்துப்பிழை,1,
சேர்க்க,1,
கூட,1,
நில,1,
இங்கே,1,
வேண்டும்,1,
பெரிய,1,
உயர்,1,
போன்ற,1,
பின்பற்றவும்,1,
செயல்,1,
ஏன்,1,
கேட்க,1,
ஆண்கள்,1,
மாற்றம்,1,
சென்றார்,1,
ஒளி,1,
வகையான,1,
ஆஃப்,1,
வேண்டும்,1,
வீட்டில்,1,
படம்,1,
முயற்சி,1,
அமெரிக்க,1,
மீண்டும்,1,
விலங்கு,1,
புள்ளி,1,
அம்மா,1,
உலக,1,
அருகில்,1,
கட்ட,1,
சுய,1,
பூமியில்,1,
தந்தை,1,
எந்த,1,
புதிய,1,
பணி,1,
பகுதி,1,
எடுத்து,1,
கிடைக்கும்,1,
இடத்தில்,1,
செய்து,1,
வாழ,1,
எங்கே,1,
பின்னர்,1,
மீண்டும்,1,
சிறிய,1,
மட்டும்,1,
சுற்று,1,
மனிதன்,1,
ஆண்டு,1,
வந்தது,1,
நிகழ்ச்சி,1,
ஒவ்வொரு,1,
நல்ல,1,
எனக்கு,1,
கொடுக்க,1,
எங்கள்,1,
கீழ்,1,
பெயர்,1,
மிகவும்,1,
மூலம்,1,
வெறும்,1,
